id,name,is_licensed
1,Technic,False
22,Creator,False
50,Town,False
112,Racers,False
126,Space,False
147,Pirates,False
155,Modular Buildings,False
158,Star Wars,True
186,Castle,False
204,Designer Sets,False
206,Seasonal,False
233,Train,False
246,Harry Potter,True
252,Architecture,False
254,Bulk Bricks,False
258,Mindstorms,False
263,Pirates of the Caribbean,True
264,Indiana Jones,True
269,Cars,True
270,Ben 10,True
271,Prince of Persia,True
272,SpongeBob SquarePants,True
273,Studios,False
275,Toy Story,True
276,Sculptures,False
278,Model Team,False
279,4 Juniors,False
296,Adventurers,False
301,Other,False
302,Agents,False
304,Alpha Team,False
307,Aquazone,False
315,Atlantis,False
317,Avatar,True
318,Belville,False
324,Bionicle,False
363,Boat,False
364,Building Set with People,False
365,Classic,False
384,Dino 2010,False
385,Dino Attack,False
386,Dinosaurs,False
387,Discovery,False
388,Disney's Mickey Mouse,True
389,Exo-Force,False
390,Fabuland,False
397,Factory,False
398,FIRST LEGO League,False
399,Freestyle,False
400,Hero Factory,False
404,Hobby Sets,False
405,Homemaker,False
406,Inventor,False
407,Island Xtreme Stunts,False
408,LEGO Brand Store,False
411,Legoland,False
425,Legoland Parks,False
432,Master Building Academy,False
433,Minitalia,False
434,Ninja,False
435,Ninjago,False
437,Pharaoh's Quest,False
438,Power Functions,False
439,Power Miners,False
440,Primo,False
441,Quatro,False
442,Rock Raiders,False
443,Service Packs,False
458,Sports,False
463,Spybiotics,False
464,Time Cruisers,False
465,Universal Building Set,False
474,Vikings,False
475,Western,False
478,X-Pod,False
480,Znap,False
481,Dino,False
482,Super Heroes,True
494,Friends,False
497,Books,False
500,Clikits,False
501,Gear,False
504,Duplo,False
507,Educational and Dacta,False
535,Collectible Minifigures,False
558,Monster Fighters,False
559,Value Packs,False
560,Universe,False
561,The Hobbit and Lord of the Rings,True
570,Teenage Mutant Ninja Turtles,True
571,Legends of Chima,False
575,The Lone Ranger,True
576,LEGO Ideas and CUUSOO,False
577,Minecraft,True
578,The LEGO Movie,False
579,Disney Princess,True
580,Mixels,False
590,Fusion,False
591,Juniors,False
598,Promotional,False
599,LEGO Exclusive,False
600,Elves,False
601,Speed Champions,False
602,Jurassic World,True
603,Scooby-Doo,True
604,Dimensions,False
605,Nexo Knights,False
606,Angry Birds,True
607,Ghostbusters,True
608,Disney,True
610,Brickheadz,False
